municipio_id,year,urbana,rustica,bice_grupo_a,bice_grupo_b,bice_grupo_c,bice_grupo_d
2001,2006,0.58,0.9,0.6,0.6,0.6,0.6
2002,2006,0.4,0.65,0.6,0.6,0.6,0.6
2003,2006,0.53,0.692,0.6,0.6,0.6,0.6
2004,2006,0.4,0.6,0.6,0.6,0.6,0.6
2005,2006,0.4,0.65,0.6,0.6,0.6,0.6
2006,2006,0.4,0.8,0.6,0.6,0.6,0.6
2007,2006,0.4,0.4,0.6,0.6,0.6,0.6
2008,2006,0.55,0.9,0.6,0.6,0.6,0.6
2009,2006,0.73,0.9,0.6,0.6,0.6,0.6
2010,2006,0.47,0.62,0.6,0.6,0.6,0.6
2011,2006,0.4,0.6,0.6,0.6,0.6,0.6
2012,2006,0.4,0.68,0.6,0.6,0.6,0.6
2013,2006,0.56,0.46,0.6,0.6,0.6,0.6
2014,2006,0.5,0.78,0.6,0.6,0.6,0.6
2015,2006,0.5,0.6,0.6,0.6,0.6,0.6
2016,2006,0.4,0.6,0.6,0.6,0.6,0.6
2017,2006,0.5,0.4,0.6,0.6,0.6,0.6
2018,2006,0.4,0.3,0.6,0.6,0.6,0.6
2019,2006,0.6,1.05,0.6,0.6,0.6,0.6
2020,2006,0.65,0.65,0.6,0.6,0.6,0.6
2021,2006,0.4,0.6,0.6,0.6,0.6,0.6
2022,2006,0.4,0.7,0.6,0.6,0.6,0.6
2023,2006,0.45,0.65,0.6,0.6,0.6,0.6
2024,2006,0.69,0.72,0.6,0.6,0.6,0.6
2025,2006,0.62,0.77,0.6,0.6,0.6,0.6
2026,2006,0.45,0.65,0.6,0.6,0.6,0.6
2027,2006,0.4,0.6,0.6,0.6,0.6,0.6
2028,2006,0.4,0.3,0.6,0.6,0.6,0.6
2029,2006,0.55,0.65,0.6,0.6,0.6,0.6
2030,2006,0.65,0.81,0.6,0.6,0.6,0.6
2031,2006,0.4,0.65,0.6,0.6,0.6,0.6
2032,2006,0.5,0.75,0.6,0.6,0.6,0.6
2033,2006,0.4,0.6,0.6,0.6,0.6,0.6
2034,2006,0.55,0.6,0.6,0.6,0.6,0.6
2035,2006,0.633,0.473,0.6,0.6,0.6,0.6
2036,2006,0.6,0.65,0.6,0.6,0.6,0.6
2037,2006,0.928,0.458,0.6,1.3,0.6,0.6
2038,2006,0.4,0.65,0.6,0.6,0.6,0.6
2039,2006,0.4,0.8,0.6,0.6,0.6,0.6
2040,2006,0.4,0.8,0.6,0.6,0.6,0.6
2041,2006,0.6,0.7,0.6,0.6,0.6,0.6
2042,2006,0.4,0.65,0.6,0.6,0.6,0.6
2043,2006,0.4,0.8,0.6,0.6,0.6,0.6
2044,2006,0.48,0.65,0.6,0.6,0.6,0.6
2045,2006,0.4,0.5,0.6,0.6,0.6,0.6
2046,2006,0.5,0.65,0.6,0.6,0.6,0.6
2047,2006,0.4,0.3,0.6,0.6,0.6,0.6
2048,2006,0.7,0.9,0.6,0.6,0.6,0.6
2049,2006,0.6,0.8,0.6,0.6,0.6,0.6
2050,2006,0.9,0.9,0.6,0.6,0.6,0.6
2051,2006,0.45,0.66,0.6,0.6,0.6,0.6
2052,2006,0.6,0.55,0.6,0.6,0.6,0.6
2053,2006,0.6,1.05,0.6,0.6,0.6,0.6
2054,2006,0.65,0.89,0.6,0.6,0.6,0.6
2055,2006,0.6,0.8,0.6,0.6,0.6,0.6
2056,2006,0.57,0.31,0.6,0.6,0.6,0.6
2057,2006,0.64,0.7,0.6,0.6,0.6,0.6
2058,2006,0.5,0.4,0.6,0.6,0.6,0.6
2059,2006,0.55,0.65,0.6,0.6,0.6,0.6
2060,2006,0.71,0.86,0.6,0.6,0.6,0.6
2061,2006,0.75,0.6,0.6,0.6,0.6,0.6
2062,2006,0.4,0.6,0.6,0.6,0.6,0.6
2063,2006,0.4,0.5,0.6,0.6,0.6,0.6
2064,2006,0.4,0.3,0.6,0.6,0.6,0.6
2065,2006,0.5,0.7,0.6,0.6,0.6,0.6
2066,2006,0.47,0.6,0.6,0.6,0.6,0.6
2067,2006,0.5,0.7,0.6,0.6,0.6,0.6
2068,2006,0.65,0.8,0.6,0.6,0.6,0.6
2069,2006,0.6,0.912,0.6,0.6,0.6,0.6
2070,2006,0.7,0.75,0.6,0.6,0.6,0.6
2071,2006,0.75,0.7,0.6,0.6,0.6,0.6
2072,2006,0.4,0.65,0.6,0.6,0.6,0.6
2073,2006,0.47,0.75,0.6,0.6,0.6,0.6
2074,2006,0.6,0.5,0.6,0.6,0.6,0.6
2075,2006,0.6,0.9,0.6,0.6,0.6,0.6
2076,2006,0.5,0.75,0.6,0.6,0.6,0.6
2077,2006,0.4,0.6,0.6,1.3,0.6,0.6
2078,2006,0.477,0.902,0.6,0.6,0.6,0.6
2079,2006,0.4,0.6,0.6,0.6,0.6,0.6
2080,2006,0.4,0.65,0.6,0.6,0.6,0.6
2081,2006,0.8,0.95,0.6,0.6,0.6,0.6
2082,2006,0.5,0.4,0.6,0.6,0.6,0.6
2083,2006,0.4,0.3,0.6,0.6,0.6,0.6
2084,2006,0.4,0.3,0.6,0.6,0.6,0.6
2085,2006,0.4,0.9,0.6,0.6,0.6,0.6
2086,2006,0.6,0.7,0.6,1.3,0.6,0.6
2901,2006,0.46,0.56,0.6,0.6,0.6,0.6
3001,2006,0.6,0.4,0.6,0.6,0.6,0.6
3002,2006,0.75,0.86,0.6,0.6,0.6,0.6
3003,2006,0.5,0.3,0.6,0.6,0.6,0.6
3004,2006,0.75,0.3,0.6,0.6,0.6,0.6
3005,2006,0.79,0.61,0.6,0.6,0.6,0.6
3006,2006,0.55,0.6,0.6,0.6,0.6,0.6
3007,2006,0.7,0.5,0.6,0.6,0.6,0.6
3008,2006,0.7,0.6,0.6,0.6,0.6,0.6
3009,2006,1.05,0.7,0.6,0.6,0.6,0.6
3010,2006,0.6,0.4,0.6,0.6,0.6,0.6
3011,2006,0.75,0.3,0.75,0.75,0.75,0.75
3012,2006,0.8,0.8,0.6,0.6,0.6,0.6
3013,2006,0.7,0.65,0.6,0.6,0.6,0.6
3014,2006,0.737,0.737,0.737,0.737,0.737,0.737
3015,2006,0.9,0.75,0.6,0.6,0.6,0.6
3016,2006,0.7,0.65,0.6,0.6,0.6,0.6
3017,2006,0.83,0.4,0.8,0.8,0.8,0.8
3018,2006,0.75,0.3,0.75,0.75,0.75,0.75
3019,2006,1.09,0.6,0.6,0.6,0.6,0.6
3020,2006,0.7,0.7,0.6,0.6,0.6,0.6
3021,2006,0.8,0.75,0.6,0.6,0.6,0.6
3022,2006,0.6,0.6,0.6,0.6,0.6,0.6
3023,2006,0.75,0.55,0.6,0.6,0.6,0.6
3024,2006,0.75,0.6,0.6,0.6,0.6,0.6
3025,2006,0.5,0.52,0.6,0.6,0.6,0.6
3026,2006,0.65,0.9,1.3,1.3,1.3,1.3
3027,2006,0.5,0.8,1.3,1.3,1.3,1.3
3028,2006,0.8,0.4,1,1,1,1
3029,2006,0.6,0.3,0.6,0.6,0.6,0.6
3030,2006,0.55,0.65,1.3,1.3,1.3,1.3
3031,2006,0.6,0.6,0.6,0.6,0.6,0.6
3032,2006,0.62,0.6,0.6,0.6,0.6,0.6
3033,2006,0.6,0.8,0.6,0.6,0.6,0.6
3034,2006,0.6,0.65,0.6,0.6,0.6,0.6
3035,2006,0.66,0.84,0.66,0.66,0.66,0.66
3036,2006,0.85,0.65,0.6,0.6,0.6,0.6
3037,2006,0.55,0.65,1.3,1.3,1.3,1.3
3038,2006,0.4,0.4,0.6,0.6,0.6,0.6
3039,2006,0.8,0.5,0.6,0.6,0.6,0.6
3040,2006,0.65,0.6,0.6,0.6,0.6,0.6
3041,2006,0.75,0.7,1.3,1.3,1.3,1.3
3042,2006,0.6,0.3,0.6,0.6,0.6,0.6
3043,2006,1.1,0.85,0.6,0.6,0.6,0.6
3044,2006,0.66,0.7,0.75,0.75,0.75,0.75
3045,2006,0.6,0.6,0.6,0.6,0.6,0.6
3046,2006,0.7,0.55,0.6,0.6,0.6,0.6
3047,2006,0.8,0.3,0.6,0.6,0.6,0.6
3048,2006,0.9,0.7,0.6,0.6,0.6,0.6
3049,2006,0.82,0.65,0.6,0.6,0.6,0.6
